2016-08-03 16:50:16:252  INFO TASK:mkdb.Worker.procedure.38 - 角色[4097]开始接受循环任务:1010000,预定任务id:0.强制:false
2016-08-03 16:50:16:252 ERROR TASK:mkdb.Worker.procedure.38 - 角色[4097]当前循环任务1010000状态:4,尚未成功提交,无法接受新任务!
2016-08-03 16:50:16:253  INFO TASK:mkdb.Worker.procedure.38 - 角色[4097]接受任务成功:501101
2016-08-03 16:50:16:254  INFO TASK:mkdb.Worker.procedure.33 - 角色[4097]开始接受循环任务:1010000,预定任务id:0.强制:false
2016-08-03 16:50:16:255 ERROR TASK:mkdb.Worker.procedure.33 - 角色[4097]当前循环任务1010000状态:4,尚未成功提交,无法接受新任务!
2016-08-03 16:50:16:257  INFO TASK:mkdb.Worker.procedure.47 - 角色[4097]开始接受循环任务:1010000,预定任务id:0.强制:false
2016-08-03 16:50:16:259 ERROR TASK:mkdb.Worker.procedure.47 - 角色[4097]当前循环任务1010000状态:4,尚未成功提交,无法接受新任务!
2016-08-03 16:50:16:260  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]接受任务成功:500101
2016-08-03 16:50:16:260  INFO TASK:mkdb.Worker.procedure.46 - 角色[4097]接受任务成功:500301
2016-08-03 16:50:16:261  INFO TASK:mkdb.Worker.procedure.37 - 角色[4097]开始接受循环任务:1010000,预定任务id:0.强制:false
2016-08-03 16:50:16:262 ERROR TASK:mkdb.Worker.procedure.37 - 角色[4097]当前循环任务1010000状态:4,尚未成功提交,无法接受新任务!
2016-08-03 16:50:16:263  INFO TASK:mkdb.Worker.procedure.32 - 角色[4097]接受任务成功:500501
2016-08-03 16:50:16:264  INFO TASK:mkdb.Worker.procedure.45 - 角色[4097]开始接受循环任务:1010000,预定任务id:0.强制:false
2016-08-03 16:50:16:265 ERROR TASK:mkdb.Worker.procedure.45 - 角色[4097]当前循环任务1010000状态:4,尚未成功提交,无法接受新任务!
2016-08-03 16:50:16:267  INFO TASK:mkdb.Worker.procedure.36 - 角色[4097]开始接受循环任务:1010000,预定任务id:0.强制:false
2016-08-03 16:50:16:268 ERROR TASK:mkdb.Worker.procedure.36 - 角色[4097]当前循环任务1010000状态:4,尚未成功提交,无法接受新任务!
2016-08-03 16:50:16:268  INFO TASK:mkdb.Worker.procedure.36 - 角色[4097]开始接受循环任务:1010000,预定任务id:0.强制:false
2016-08-03 16:50:16:326 ERROR TASK:mkdb.Worker.procedure.36 - 角色[4097]当前循环任务1010000状态:4,尚未成功提交,无法接受新任务!
2016-08-03 16:50:16:330  INFO TASK:mkdb.Worker.procedure.44 - 角色[4097]接受任务成功:500101
2016-08-03 16:50:16:332  INFO TASK:mkdb.Worker.procedure.49 - 角色[4097]开始接受循环任务:1010000,预定任务id:0.强制:false
2016-08-03 16:50:16:332 ERROR TASK:mkdb.Worker.procedure.49 - 角色[4097]当前循环任务1010000状态:4,尚未成功提交,无法接受新任务!
